Variant ID,Round ID,Review Cycle,Source Asset ID,Source Video,Source Video Description,Date Posted,Time Posted,Day of Week,Phase,Test Variable,Variant Category,Exact Hook / Variant Wording,Modality,Country,Format Type,Video Length (sec),Predicted Best Performing Hook,Human Prediction Rank,Prediction Confidence,Prediction Rationale,Views 24h,3-Sec Retention % 24h,Avg Watch Time (sec) 24h,Watch % of Length 24h,Saves 24h,Shares 24h,Comments 24h,Follows from Reel 24h,Views 48h,3-Sec Retention % 48h,Avg Watch Time (sec) 48h,Watch % of Length 48h,Saves 48h,Shares 48h,Comments 48h,Follows from Reel 48h,Decision Score 48h,Promoted to Feed (Y/N),Date Promoted,Winner of Round (Y/N),Prediction Correct (Round),Views 7d,3-Sec Retention % 7d,Avg Watch Time (sec) 7d,Watch % of Length 7d,Saves 7d,Shares 7d,Comments 7d,Follows from Reel 7d,7d Distribution Context,Notes / Anomalies
R20V2,R20,Jul 20 – Aug 2,SRC-020,The Wrong Menu Translation,A translation mistake leads to an unexpected order and reaction-driven food sequence.,2026-07-23,11:00 AM,Thursday,Phase 1 — Hook,Hook Type,Numbered / Specific,One translation mistake changed our entire dinner,Text overlay + matched opening audio,Japan,Humor / food,25,N,4,High,,222,43.8,5.4,21.8,2,1,0,0,312,44.3,5.1,20.3,3,2,1,0,37.1,N,,N,Y,331,43.6,5.0,20.1,3,2,1,0,Trial-reel distribution only; not promoted,
R20V3,R20,Jul 20 – Aug 2,SRC-020,The Wrong Menu Translation,A translation mistake leads to an unexpected order and reaction-driven food sequence.,2026-07-23,11:00 AM,Thursday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: Google Translate confidently orders for you,Text overlay + matched opening audio,Japan,Humor / food,25,N,5,High,,195,46.6,5.2,20.7,1,1,0,0,298,45.0,5.1,20.3,2,2,0,1,37.7,N,,N,Y,323,45.5,4.8,19.2,2,2,0,1,Trial-reel distribution only; not promoted,
R20V4,R20,Jul 20 – Aug 2,SRC-020,The Wrong Menu Translation,A translation mistake leads to an unexpected order and reaction-driven food sequence.,2026-07-23,11:00 AM,Thursday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,Sometimes the wrong order is the better order,Text overlay + matched opening audio,Japan,Humor / food,25,Y,1,High,Strong fit between the opening idea and the source footage; team would normally publish this treatment without a debate.,241,58.4,7.3,29.2,1,1,0,1,358,57.6,6.8,27.1,2,3,0,2,48.3,Y,2026-07-25,Y,Y,2668,54.5,6.0,23.9,10,15,0,10,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R20V5,R20,Jul 20 – Aug 2,SRC-020,The Wrong Menu Translation,A translation mistake leads to an unexpected order and reaction-driven food sequence.,2026-07-23,11:00 AM,Thursday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on the dish landing and both reactions],Existing visual/audio opening; hook layer removed,Japan,Humor / food,25,N,2,High,,231,44.7,4.3,17.2,1,1,0,0,325,46.4,4.6,18.5,3,3,1,1,38.9,N,,N,Y,356,46.2,4.4,17.5,3,3,1,1,Trial-reel distribution only; not promoted,
R21V1,R21,Jul 20 – Aug 2,SRC-021,Elevator to a Hike,A city elevator exits directly into a steep hillside trail with skyline payoff.,2026-07-24,12:30 PM,Friday,Phase 1 — Hook,Hook Type,Credential,Harvard travelers take an elevator out of a mall and somehow end up on a mountain,Text overlay + matched opening audio,Hong Kong,Urban adventure,33,Y,1,Medium,"Two treatments felt viable, but this one had the clearest immediate promise and cleanest first-frame fit.",260,49.2,13.0,39.5,0,0,0,0,365,51.0,12.5,38.0,1,1,0,2,44.7,Y,2026-07-26,Y,Y,2462,47.9,11.8,35.7,4,5,0,9,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R21V2,R21,Jul 20 – Aug 2,SRC-021,Elevator to a Hike,A city elevator exits directly into a steep hillside trail with skyline payoff.,2026-07-24,12:30 PM,Friday,Phase 1 — Hook,Hook Type,Numbered / Specific,12 minutes from a shopping mall to this hiking view,Text overlay + matched opening audio,Hong Kong,Urban adventure,33,N,3,Medium,,215,45.5,9.8,29.8,1,2,0,0,333,44.4,10.5,32.0,3,3,0,1,39.8,N,,N,Y,403,44.2,10.4,31.4,3,3,0,1,Trial-reel distribution only; not promoted,
R21V3,R21,Jul 20 – Aug 2,SRC-021,Elevator to a Hike,A city elevator exits directly into a steep hillside trail with skyline payoff.,2026-07-24,12:30 PM,Friday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: your hike starts inside a mall elevator,Text overlay + matched opening audio,Hong Kong,Urban adventure,33,N,4,Medium,,231,41.4,10.7,32.4,0,1,0,0,305,41.3,10.4,31.6,1,3,1,0,36.7,N,,N,Y,322,42.3,10.6,32.0,1,3,1,0,Trial-reel distribution only; not promoted,
R21V4,R21,Jul 20 – Aug 2,SRC-021,Elevator to a Hike,A city elevator exits directly into a steep hillside trail with skyline payoff.,2026-07-24,12:30 PM,Friday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,The weirdest trailhead we found was air-conditioned,Text overlay + matched opening audio,Hong Kong,Urban adventure,33,N,5,Medium,,177,38.7,10.1,30.6,0,2,0,0,273,39.4,9.6,29.2,1,3,0,0,35.1,N,,N,Y,312,38.6,9.5,28.9,1,3,0,0,Trial-reel distribution only; not promoted,
R21V5,R21,Jul 20 – Aug 2,SRC-021,Elevator to a Hike,A city elevator exits directly into a steep hillside trail with skyline payoff.,2026-07-24,12:30 PM,Friday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,"[No opening text; start inside the elevator, then cut to the summit]",Existing visual/audio opening; hook layer removed,Hong Kong,Urban adventure,33,N,2,Medium,,213,39.5,9.0,27.4,1,2,0,0,320,40.4,8.7,26.5,2,4,0,0,35.7,N,,N,Y,384,41.1,8.7,26.4,2,4,0,0,Trial-reel distribution only; not promoted,
R22V1,R22,Jul 20 – Aug 2,SRC-022,Five-Euro Stadium Seat,A cheap local match ticket becomes a value comparison and atmosphere reel.,2026-07-25,2:00 PM,Saturday,Phase 1 — Hook,Hook Type,Credential,Harvard students buy €5 football tickets in Porto and get this view,Text overlay + matched opening audio,Portugal,Sports / value,29,N,5,High,,122,60.4,7.0,24.0,1,1,0,0,164,59.6,7.1,24.3,2,2,0,1,50.3,N,,N,Y,184,60.0,7.3,25.2,2,2,0,1,Trial-reel distribution only; not promoted,
R22V2,R22,Jul 20 – Aug 2,SRC-022,Five-Euro Stadium Seat,A cheap local match ticket becomes a value comparison and atmosphere reel.,2026-07-25,2:00 PM,Saturday,Phase 1 — Hook,Hook Type,Numbered / Specific,What a €5 football ticket actually gets you in Portugal,Text overlay + matched opening audio,Portugal,Sports / value,29,N,3,High,,113,53.5,6.2,21.4,0,1,0,0,153,53.1,6.3,21.8,0,2,0,0,43.5,N,,N,Y,181,53.4,6.5,22.5,0,2,0,0,Trial-reel distribution only; not promoted,
R22V3,R22,Jul 20 – Aug 2,SRC-022,Five-Euro Stadium Seat,A cheap local match ticket becomes a value comparison and atmosphere reel.,2026-07-25,2:00 PM,Saturday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: your cheapest night out is a football match,Text overlay + matched opening audio,Portugal,Sports / value,29,Y,1,High,Strong fit between the opening idea and the source footage; team would normally publish this treatment without a debate.,120,66.8,7.5,25.9,0,2,0,0,171,65.4,7.2,24.8,1,3,0,1,54.5,Y,2026-07-27,Y,Y,1524,58.8,6.5,22.5,6,19,0,7,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R22V4,R22,Jul 20 – Aug 2,SRC-022,Five-Euro Stadium Seat,A cheap local match ticket becomes a value comparison and atmosphere reel.,2026-07-25,2:00 PM,Saturday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,The best-value seat in the stadium might be the cheapest one,Text overlay + matched opening audio,Portugal,Sports / value,29,N,4,High,,93,51.0,4.0,13.9,0,1,0,0,147,51.8,4.5,15.6,0,2,0,0,41.5,N,,N,Y,176,52.0,4.8,16.6,0,2,0,0,Trial-reel distribution only; not promoted,
R22V5,R22,Jul 20 – Aug 2,SRC-022,Five-Euro Stadium Seat,A cheap local match ticket becomes a value comparison and atmosphere reel.,2026-07-25,2:00 PM,Saturday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on the crowd erupting from the €5 section],Existing visual/audio opening; hook layer removed,Portugal,Sports / value,29,N,2,High,,86,52.3,6.6,22.8,0,0,0,0,139,51.8,6.1,21.0,1,1,0,0,42.5,N,,N,Y,148,51.8,6.3,21.6,1,1,0,0,Trial-reel distribution only; not promoted,
R23V1,R23,Jul 20 – Aug 2,SRC-023,The Village Vending Machine,A strange roadside vending machine becomes a quick curiosity/reveal piece.,2026-07-26,11:00 AM,Sunday,Phase 1 — Hook,Hook Type,Credential,Harvard travelers find a vending machine in rural Italy that sells dinner,Text overlay + matched opening audio,Italy,Oddity / discovery,20,N,4,High,,235,50.7,3.7,18.7,1,1,0,0,351,51.4,3.7,18.3,2,2,0,1,41.7,N,,N,Y,387,51.0,3.5,17.4,2,2,0,1,Trial-reel distribution only; not promoted,
R23V2,R23,Jul 20 – Aug 2,SRC-023,The Village Vending Machine,A strange roadside vending machine becomes a quick curiosity/reveal piece.,2026-07-26,11:00 AM,Sunday,Phase 1 — Hook,Hook Type,Numbered / Specific,This vending machine has 14 things we did not expect,Text overlay + matched opening audio,Italy,Oddity / discovery,20,Y,1,High,Strong fit between the opening idea and the source footage; team would normally publish this treatment without a debate.,285,63.4,5.2,25.8,1,3,0,1,425,62.9,4.8,24.2,4,7,1,3,52.6,Y,2026-07-28,Y,Y,2038,57.9,3.9,19.6,13,27,4,10,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R23V3,R23,Jul 20 – Aug 2,SRC-023,The Village Vending Machine,A strange roadside vending machine becomes a quick curiosity/reveal piece.,2026-07-26,11:00 AM,Sunday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: the only open restaurant is a vending machine,Text overlay + matched opening audio,Italy,Oddity / discovery,20,N,5,High,,266,52.6,3.6,18.0,2,1,0,0,384,51.1,3.8,19.2,4,4,1,1,42.6,N,,N,Y,434,50.0,3.7,18.5,4,4,1,1,Trial-reel distribution only; not promoted,
R23V4,R23,Jul 20 – Aug 2,SRC-023,The Village Vending Machine,A strange roadside vending machine becomes a quick curiosity/reveal piece.,2026-07-26,11:00 AM,Sunday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,Rural Italy solved late-night dinner in the strangest way,Text overlay + matched opening audio,Italy,Oddity / discovery,20,N,2,High,,290,54.0,3.9,19.4,1,1,0,0,396,55.5,4.2,20.9,3,2,0,0,45.0,N,,N,Y,424,54.6,4.2,21.1,3,2,0,0,Trial-reel distribution only; not promoted,
R23V5,R23,Jul 20 – Aug 2,SRC-023,The Village Vending Machine,A strange roadside vending machine becomes a quick curiosity/reveal piece.,2026-07-26,11:00 AM,Sunday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on the machine door opening],Existing visual/audio opening; hook layer removed,Italy,Oddity / discovery,20,N,3,High,,250,51.3,2.6,13.0,2,0,0,1,392,52.4,2.9,14.6,4,2,1,2,42.4,N,,N,Y,441,53.2,2.7,13.7,4,2,1,2,Trial-reel distribution only; not promoted,
R24V1,R24,Jul 20 – Aug 2,SRC-024,Three-Minute Border Crossing,A rapid border-crossing explainer built around how uneventful the process actually feels.,2026-07-27,12:30 PM,Monday,Phase 1 — Hook,Hook Type,Credential,Harvard students cross an international border in three minutes without leaving the bus,Text overlay + matched opening audio,Estonia,Transit / explainer,27,N,4,Low,,303,56.6,9.1,33.6,1,3,0,1,402,56.7,9.4,34.7,3,6,1,2,49.8,N,,N,N,437,57.7,9.1,33.6,3,6,1,2,Trial-reel distribution only; not promoted,
R24V2,R24,Jul 20 – Aug 2,SRC-024,Three-Minute Border Crossing,A rapid border-crossing explainer built around how uneventful the process actually feels.,2026-07-27,12:30 PM,Monday,Phase 1 — Hook,Hook Type,Numbered / Specific,This international border crossing took 3 minutes,Text overlay + matched opening audio,Estonia,Transit / explainer,27,Y,1,Low,No hook had an obvious edge before posting; this was a preference rather than a conviction call.,340,61.5,10.5,38.7,2,4,0,2,456,61.1,10.8,40.0,4,10,1,3,54.2,N,,N,N,518,60.2,10.6,39.4,4,11,1,3,Trial-reel distribution only; not promoted,
R24V3,R24,Jul 20 – Aug 2,SRC-024,Three-Minute Border Crossing,A rapid border-crossing explainer built around how uneventful the process actually feels.,2026-07-27,12:30 PM,Monday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: you cross countries before your playlist changes songs,Text overlay + matched opening audio,Estonia,Transit / explainer,27,N,5,Low,,287,57.3,9.8,36.2,3,1,0,0,438,55.9,9.3,34.3,6,2,2,1,48.5,N,,N,N,461,55.0,9.0,33.4,6,2,2,1,Trial-reel distribution only; not promoted,
R24V4,R24,Jul 20 – Aug 2,SRC-024,Three-Minute Border Crossing,A rapid border-crossing explainer built around how uneventful the process actually feels.,2026-07-27,12:30 PM,Monday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,The least dramatic border crossing made the best travel day,Text overlay + matched opening audio,Estonia,Transit / explainer,27,N,3,Low,,319,61.6,12.0,44.3,1,4,0,1,476,63.0,11.7,43.5,4,8,0,3,56.2,Y,2026-07-29,Y,N,5161,57.7,10.5,38.8,35,64,0,25,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R24V5,R24,Jul 20 – Aug 2,SRC-024,Three-Minute Border Crossing,A rapid border-crossing explainer built around how uneventful the process actually feels.,2026-07-27,12:30 PM,Monday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on the country sign passing the bus window],Existing visual/audio opening; hook layer removed,Estonia,Transit / explainer,27,N,2,Low,,244,50.2,8.6,31.9,1,1,0,0,377,50.1,9.0,33.2,3,4,1,0,43.9,N,,N,N,404,49.6,9.1,33.8,3,4,1,0,Trial-reel distribution only; not promoted,
R25V1,R25,Jul 20 – Aug 2,SRC-025,The Rooftop Nobody Advertised,A hostel/common-space reveal where the advertised room is ordinary but the roof is exceptional.,2026-07-28,2:00 PM,Tuesday,Phase 1 — Hook,Hook Type,Credential,Harvard students book a basic hostel in Buenos Aires and find the part they forgot to advertise,Text overlay + matched opening audio,Argentina,Stay / reveal,24,N,3,High,,504,45.3,7.0,29.3,1,2,0,2,757,45.1,7.2,30.2,2,4,2,4,39.2,N,,N,Y,823,44.0,7.2,30.2,2,4,2,4,Trial-reel distribution only; not promoted,
R25V2,R25,Jul 20 – Aug 2,SRC-025,The Rooftop Nobody Advertised,A hostel/common-space reveal where the advertised room is ordinary but the roof is exceptional.,2026-07-28,2:00 PM,Tuesday,Phase 1 — Hook,Hook Type,Numbered / Specific,The room was average. The 8th-floor roof was not.,Text overlay + matched opening audio,Argentina,Stay / reveal,24,N,2,High,,584,48.7,8.5,35.4,4,6,1,2,825,50.3,8.6,35.7,7,10,2,3,45.1,N,,N,Y,934,50.5,8.3,34.6,7,11,2,3,Trial-reel distribution only; not promoted,
R25V3,R25,Jul 20 – Aug 2,SRC-025,The Rooftop Nobody Advertised,A hostel/common-space reveal where the advertised room is ordinary but the roof is exceptional.,2026-07-28,2:00 PM,Tuesday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: the best part of your hostel is not in any booking photo,Text overlay + matched opening audio,Argentina,Stay / reveal,24,N,5,High,,548,43.9,7.6,31.8,2,3,0,1,758,44.7,7.9,32.9,4,8,1,4,40.2,N,,N,Y,869,45.5,8.2,34.0,4,8,1,4,Trial-reel distribution only; not promoted,
R25V4,R25,Jul 20 – Aug 2,SRC-025,The Rooftop Nobody Advertised,A hostel/common-space reveal where the advertised room is ordinary but the roof is exceptional.,2026-07-28,2:00 PM,Tuesday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,The photos undersold this place for once,Text overlay + matched opening audio,Argentina,Stay / reveal,24,N,4,High,,575,48.7,7.9,32.8,5,2,1,2,830,47.9,7.8,32.5,8,5,3,4,42.4,N,,N,Y,868,48.8,7.7,32.2,8,5,3,4,Trial-reel distribution only; not promoted,
R25V5,R25,Jul 20 – Aug 2,SRC-025,The Rooftop Nobody Advertised,A hostel/common-space reveal where the advertised room is ordinary but the roof is exceptional.,2026-07-28,2:00 PM,Tuesday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on the stairwell door opening to the skyline],Existing visual/audio opening; hook layer removed,Argentina,Stay / reveal,24,Y,1,High,Strong fit between the opening idea and the source footage; team would normally publish this treatment without a debate.,581,52.9,9.4,39.0,4,5,1,2,913,53.2,9.5,39.8,9,10,2,4,48.0,Y,2026-07-30,Y,Y,4165,49.0,8.5,35.2,35,34,9,13,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R26V1,R26,Aug 3 – Aug 16,SRC-026,Lunch Between Two Waterfalls,A simple packed lunch becomes a visual midpoint between two waterfall hikes.,2026-08-03,10:00 AM,Monday,Phase 1 — Hook,Hook Type,Credential,Harvard travelers find the most ridiculous place to eat a grocery-store lunch in Iceland,Text overlay + matched opening audio,Iceland,Scenic / food,28,Y,1,Medium,"Two treatments felt viable, but this one had the clearest immediate promise and cleanest first-frame fit.",91,65.8,9.1,32.6,0,1,0,0,146,64.3,9.0,32.1,1,2,0,1,54.8,Y,2026-08-05,Y,Y,1431,60.1,8.5,30.2,7,15,0,7,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R26V2,R26,Aug 3 – Aug 16,SRC-026,Lunch Between Two Waterfalls,A simple packed lunch becomes a visual midpoint between two waterfall hikes.,2026-08-03,10:00 AM,Monday,Phase 1 — Hook,Hook Type,Numbered / Specific,"$9 lunch, two waterfalls, zero restaurant",Text overlay + matched opening audio,Iceland,Scenic / food,28,N,3,Medium,,85,50.8,6.3,22.3,0,0,0,0,112,49.1,6.5,23.2,1,1,0,0,41.3,N,,N,Y,135,49.4,6.8,24.2,1,1,0,0,Trial-reel distribution only; not promoted,
R26V3,R26,Aug 3 – Aug 16,SRC-026,Lunch Between Two Waterfalls,A simple packed lunch becomes a visual midpoint between two waterfall hikes.,2026-08-03,10:00 AM,Monday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: your lunch table is a rock between two waterfalls,Text overlay + matched opening audio,Iceland,Scenic / food,28,N,2,Medium,,89,51.4,8.3,29.5,0,0,0,0,128,53.3,8.0,28.7,1,1,0,0,45.1,N,,N,Y,135,52.7,7.8,27.8,1,1,0,0,Trial-reel distribution only; not promoted,
R26V4,R26,Aug 3 – Aug 16,SRC-026,Lunch Between Two Waterfalls,A simple packed lunch becomes a visual midpoint between two waterfall hikes.,2026-08-03,10:00 AM,Monday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,This was better than every expensive lunch we had that week,Text overlay + matched opening audio,Iceland,Scenic / food,28,N,4,Medium,,103,54.8,7.3,26.1,0,0,0,0,133,54.6,7.4,26.3,1,0,0,0,44.8,N,,N,Y,160,53.9,7.2,25.7,1,0,0,0,Trial-reel distribution only; not promoted,
R26V5,R26,Aug 3 – Aug 16,SRC-026,Lunch Between Two Waterfalls,A simple packed lunch becomes a visual midpoint between two waterfall hikes.,2026-08-03,10:00 AM,Monday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on the sandwich with waterfalls in both directions],Existing visual/audio opening; hook layer removed,Iceland,Scenic / food,28,N,5,Medium,,81,50.4,6.8,24.4,0,0,0,0,110,51.7,7.0,25.0,1,1,0,0,43.5,N,,N,Y,125,52.3,7.0,24.9,1,1,0,0,Trial-reel distribution only; not promoted,
R27V1,R27,Aug 3 – Aug 16,SRC-027,Lost in the Blue Streets,A navigation mishap through blue-painted lanes becomes a light story about getting intentionally lost.,2026-08-04,11:30 AM,Tuesday,Phase 1 — Hook,Hook Type,Credential,Harvard travelers get lost for 40 minutes in Sidi Bou Said and stop trying to fix it,Text overlay + matched opening audio,Tunisia,Navigation / visual,31,N,5,High,,102,51.2,9.0,29.1,0,0,0,0,162,51.0,9.1,29.4,0,1,0,1,43.2,N,,N,Y,170,50.6,9.3,30.0,0,1,0,1,Trial-reel distribution only; not promoted,
R27V2,R27,Aug 3 – Aug 16,SRC-027,Lost in the Blue Streets,A navigation mishap through blue-painted lanes becomes a light story about getting intentionally lost.,2026-08-04,11:30 AM,Tuesday,Phase 1 — Hook,Hook Type,Numbered / Specific,We made 9 wrong turns and somehow improved the afternoon,Text overlay + matched opening audio,Tunisia,Navigation / visual,31,N,3,High,,112,53.5,11.6,37.4,0,1,0,0,176,54.7,11.0,35.4,1,2,0,0,47.5,N,,N,Y,206,55.6,10.8,34.8,1,2,0,0,Trial-reel distribution only; not promoted,
R27V3,R27,Aug 3 – Aug 16,SRC-027,Lost in the Blue Streets,A navigation mishap through blue-painted lanes becomes a light story about getting intentionally lost.,2026-08-04,11:30 AM,Tuesday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: every street looks right and none of them are,Text overlay + matched opening audio,Tunisia,Navigation / visual,31,Y,1,High,Strong fit between the opening idea and the source footage; team would normally publish this treatment without a debate.,120,62.8,12.9,41.5,0,0,0,0,186,64.3,12.3,39.6,1,1,0,1,55.0,Y,2026-08-06,Y,Y,1885,57.6,10.9,35.2,6,8,0,6,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R27V4,R27,Aug 3 – Aug 16,SRC-027,Lost in the Blue Streets,A navigation mishap through blue-painted lanes becomes a light story about getting intentionally lost.,2026-08-04,11:30 AM,Tuesday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,Getting lost is only a problem when you are in a hurry,Text overlay + matched opening audio,Tunisia,Navigation / visual,31,N,2,High,,134,53.0,10.7,34.4,0,0,0,0,177,51.7,10.7,34.5,1,1,0,0,44.6,N,,N,Y,195,51.3,10.6,34.2,1,1,0,0,Trial-reel distribution only; not promoted,
R27V5,R27,Aug 3 – Aug 16,SRC-027,Lost in the Blue Streets,A navigation mishap through blue-painted lanes becomes a light story about getting intentionally lost.,2026-08-04,11:30 AM,Tuesday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; start on three rapid cuts of identical blue lanes],Existing visual/audio opening; hook layer removed,Tunisia,Navigation / visual,31,N,4,High,,132,53.0,9.3,30.0,1,0,0,0,170,51.6,9.5,30.7,2,0,0,0,43.9,N,,N,Y,193,52.0,9.4,30.4,2,0,0,0,Trial-reel distribution only; not promoted,
R28V1,R28,Aug 3 – Aug 16,SRC-028,The 90-Second Boat Ride,An absurdly short ferry crossing is framed as both transit and attraction.,2026-08-05,1:00 PM,Wednesday,Phase 1 — Hook,Hook Type,Credential,Harvard students take Norway’s shortest-feeling ferry ride for the view,Text overlay + matched opening audio,Norway,Transit / scenic,18,N,5,Medium,,209,54.3,4.1,22.8,1,0,0,1,328,53.4,4.4,24.5,3,1,0,2,44.7,N,,N,Y,367,53.4,4.5,25.1,3,1,0,2,Trial-reel distribution only; not promoted,
R28V2,R28,Aug 3 – Aug 16,SRC-028,The 90-Second Boat Ride,An absurdly short ferry crossing is framed as both transit and attraction.,2026-08-05,1:00 PM,Wednesday,Phase 1 — Hook,Hook Type,Numbered / Specific,This ferry ride lasts 90 seconds and people still line up for it,Text overlay + matched opening audio,Norway,Transit / scenic,18,Y,1,Medium,"Two treatments felt viable, but this one had the clearest immediate promise and cleanest first-frame fit.",305,67.1,5.3,29.5,3,6,0,1,402,65.4,5.3,29.5,5,9,0,2,55.4,Y,2026-08-07,Y,Y,4356,61.8,4.5,25.1,47,77,0,15,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
R28V3,R28,Aug 3 – Aug 16,SRC-028,The 90-Second Boat Ride,An absurdly short ferry crossing is framed as both transit and attraction.,2026-08-05,1:00 PM,Wednesday,Phase 1 — Hook,Hook Type,POV / Direct-address,POV: your ferry arrives before you finish sitting down,Text overlay + matched opening audio,Norway,Transit / scenic,18,N,4,Medium,,268,56.0,4.9,27.5,1,2,0,0,347,56.8,5.2,28.8,3,6,0,1,49.0,N,,N,Y,370,56.7,5.1,28.5,3,6,0,1,Trial-reel distribution only; not promoted,
R28V4,R28,Aug 3 – Aug 16,SRC-028,The 90-Second Boat Ride,An absurdly short ferry crossing is framed as both transit and attraction.,2026-08-05,1:00 PM,Wednesday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,The shortest ride gave us the best view of the day,Text overlay + matched opening audio,Norway,Transit / scenic,18,N,3,Medium,,212,50.4,3.6,20.3,1,0,0,0,347,50.0,4.0,22.3,4,2,1,1,42.0,N,,N,Y,389,49.8,4.0,22.3,4,2,1,1,Trial-reel distribution only; not promoted,
R28V5,R28,Aug 3 – Aug 16,SRC-028,The 90-Second Boat Ride,An absurdly short ferry crossing is framed as both transit and attraction.,2026-08-05,1:00 PM,Wednesday,Phase 1 — Hook,Hook Type,Cold Open / Visual-only,[No opening text; begin with the horn and immediate dock departure],Existing visual/audio opening; hook layer removed,Norway,Transit / scenic,18,N,2,Medium,,274,51.9,4.0,22.5,0,2,0,1,368,53.4,4.1,23.0,1,4,0,2,44.5,N,,N,Y,417,52.5,4.1,22.7,1,4,0,2,Trial-reel distribution only; not promoted,
R29V1,R29,Aug 3 – Aug 16,SRC-029,The Restaurant With No Sign,A hard-to-find restaurant setup pays off with a family-style meal and no formal signage.,2026-08-06,10:00 AM,Thursday,Phase 1 — Hook,Hook Type,Credential,Harvard travelers follow handwritten arrows to dinner in Tbilisi,Text overlay + matched opening audio,Georgia,Food / discovery,34,N,4,High,,244,48.0,14.3,41.9,0,1,0,1,339,48.1,13.9,41.0,2,3,1,2,44.1,N,,N,Y,387,47.2,13.7,40.3,2,3,1,2,Trial-reel distribution only; not promoted,
R29V2,R29,Aug 3 – Aug 16,SRC-029,The Restaurant With No Sign,A hard-to-find restaurant setup pays off with a family-style meal and no formal signage.,2026-08-06,10:00 AM,Thursday,Phase 1 — Hook,Hook Type,Numbered / Specific,4 handwritten arrows led us to this dinner,Text overlay + matched opening audio,Georgia,Food / discovery,34,N,2,High,,248,43.3,12.0,35.4,0,1,0,0,346,43.0,12.5,36.8,1,3,1,1,39.0,N,,N,Y,371,43.7,12.8,37.5,1,3,1,1,Trial-reel distribution only; not promoted,
R29V3,R29,Aug 3 – Aug 16,SRC-029,The Restaurant With No Sign,A hard-to-find restaurant setup pays off with a family-style meal and no formal signage.,2026-08-06,10:00 AM,Thursday,Phase 1 — Hook,Hook Type,POV / Direct-address,"POV: the restaurant has no sign, website, or obvious entrance",Text overlay + matched opening audio,Georgia,Food / discovery,34,N,5,High,,227,50.0,12.6,37.1,1,0,0,0,339,48.8,12.8,37.7,3,1,0,0,43.1,N,,N,Y,383,49.4,12.4,36.6,3,1,0,0,Trial-reel distribution only; not promoted,
R29V4,R29,Aug 3 – Aug 16,SRC-029,The Restaurant With No Sign,A hard-to-find restaurant setup pays off with a family-style meal and no formal signage.,2026-08-06,10:00 AM,Thursday,Phase 1 — Hook,Hook Type,Contrarian / Pattern-break,"The harder this place was to find, the better the meal got",Text overlay + matched opening audio,Georgia,Food / discovery,34,Y,1,High,Strong fit between the opening idea and the source footage; team would normally publish this treatment without a debate.,280,55.7,15.8,46.6,2,3,0,0,400,57.3,15.3,44.9,3,5,1,0,51.3,Y,2026-08-08,Y,Y,2598,51.1,14.3,42.1,15,23,5,0,Promoted to main feed after 48h; 7d reflects trial + feed distribution,
